topic_a,topic_b,similarity,label_a,label_b
0,7,0.8929685,"visual, image, multimodal, text, evidence","speech, audio, speaker, asr, acoustic"
15,18,0.8905341,"driving, autonomous, autonomous driving, traffic, vehicle","learning, decision, policy, optimal, reward"
0,1,0.8873166,"visual, image, multimodal, text, evidence","recommendation, item, user, semantic, items"
17,18,0.87953013,"vla, action, robot, task, control","learning, decision, policy, optimal, reward"
27,38,0.87570745,"color, illumination, gaussian, enhancement, resolution","unlearning, cuda, forget, forget set, data"
15,17,0.8663065,"driving, autonomous, autonomous driving, traffic, vehicle","vla, action, robot, task, control"
0,5,0.83609265,"visual, image, multimodal, text, evidence","language, multilingual, models, bias, english"
26,27,0.8330149,"retrieval, rag, query, granularity, answer","color, illumination, gaussian, enhancement, resolution"
22,27,0.81268376,"classification, convolutional, jpeg, image, pooling","color, illumination, gaussian, enhancement, resolution"
0,21,0.80599695,"visual, image, multimodal, text, evidence","research, citation, retrieval, literature, academic"
0,15,0.8052552,"visual, image, multimodal, text, evidence","driving, autonomous, autonomous driving, traffic, vehicle"
0,2,0.79321676,"visual, image, multimodal, text, evidence","contact, tactile, hand, manipulation, robot"
2,26,0.7931892,"contact, tactile, hand, manipulation, robot","retrieval, rag, query, granularity, answer"
11,16,0.79250896,"lidar, point, radar, 3d, pose","policy, learning, manipulation, policies, robot"
0,30,0.7924856,"visual, image, multimodal, text, evidence","social, behavior, ai, self, human"
0,18,0.7917686,"visual, image, multimodal, text, evidence","learning, decision, policy, optimal, reward"
1,15,0.7882854,"recommendation, item, user, semantic, items","driving, autonomous, autonomous driving, traffic, vehicle"
0,17,0.785994,"visual, image, multimodal, text, evidence","vla, action, robot, task, control"
5,38,0.78576636,"language, multilingual, models, bias, english","unlearning, cuda, forget, forget set, data"
0,10,0.78442657,"visual, image, multimodal, text, evidence","navigation, planning, environments, obstacle, collision"
